condition,model,e,e_mse,e_in,b,g,d,r_A,div,g_lin,sure,dis,g2,g3,q,frac_improved
blur(std=1),dae_lam1w5_seed0,0.0600183,0.0135384,0.0704066,0.283754,0.00690687,0.0533517,0.0360041,,,,0.00958468,0.00414603,0.00338536,0.602963,0.8301
blur(std=1),dae_lam1w5_seed1,0.0591063,0.0137165,0.0704066,0.283754,0.00669142,0.0549182,0.0356328,,,,0.00958468,0.00395817,0.00325211,0.593144,0.8138
blur(std=1),dae_lam1w5_seed2,0.0615792,0.0146732,0.0704066,0.283754,0.00584099,0.0567017,0.0379564,,,,0.00958468,0.00353604,0.00295767,0.603298,0.7789
blur(std=1.5),radial,0.108868,0.0237763,0.0931584,0.280573,2.28506e-17,0.0594431,0.0539522,,,,,5.01088e-18,2.65028e-18,,0.2221
blur(std=1.5),pca64,0.0936922,0.0214666,0.0931584,0.280573,4.53944e-16,0.0259118,0.0375571,,,,,4.12015e-16,4.10714e-16,,0.5746
blur(std=1.5),dae_lam0.1w5_seed0,0.0792509,0.01964,0.0931584,0.280573,0.0138136,0.0541668,0.0360596,,,,0.0097746,0.00844748,0.00649142,0.621818,0.9766
blur(std=1.5),dae_lam0.1w5_seed1,0.0778122,0.0193552,0.0931584,0.280573,0.0136752,0.0561145,0.0356712,,,,0.0097746,0.00854729,0.00674082,0.635002,0.9756
blur(std=1.5),dae_lam0_seed0,0.078744,0.0195989,0.0931584,0.280573,0.0152581,0.0551067,0.0360678,,,,0.0100868,0.00950073,0.00737971,0.63276,0.9753
blur(std=1.5),dae_lam0_seed1,0.0792655,0.0199389,0.0931584,0.280573,0.0147472,0.0564604,0.0369261,,,,0.0100868,0.00970385,0.00779455,0.66294,0.974
blur(std=1.5),dae_lam0_seed2,0.0767706,0.0194586,0.0931584,0.280573,0.0153549,0.057366,0.0374202,,,,0.0100868,0.0106007,0.00874153,0.692839,0.978
blur(std=1.5),dae_lam1_seed0,0.209543,0.103143,0.0931584,0.280573,8.82256e-07,0.183438,0.176603,,,,,6.08605e-09,5.83538e-09,0.00746929,0
blur(std=1.5),dae_lam1w5_inner_seed0,0.0834353,0.0220505,0.0931584,0.280573,0.0115521,0.0708718,0.0450393,,,,0.0174969,0.00638088,0.0053752,0.550077,0.8591
blur(std=1.5),dae_lam1w5_inner_seed1,0.0844276,0.0226195,0.0931584,0.280573,0.012204,0.0743733,0.0462855,,,,0.0174969,0.00696467,0.00588371,0.572103,0.8468
blur(std=1.5),dae_lam1w5_inner_seed2,0.0784102,0.0211977,0.0931584,0.280573,0.0119078,0.0770672,0.044333,,,,0.0174969,0.00717902,0.00608948,0.594032,0.8925
blur(std=1.5),dae_lam1w5_seed0,0.0782937,0.0197399,0.0931584,0.280573,0.00892223,0.0589914,0.0376222,,,,0.011354,0.00487488,0.00379996,0.551529,0.9605
blur(std=1.5),dae_lam1w5_seed1,0.0734932,0.0184101,0.0931584,0.280573,0.00858995,0.0624252,0.0356279,,,,0.011354,0.00452066,0.00356571,0.532863,0.9622
blur(std=1.5),dae_lam1w5_seed2,0.0764145,0.0199041,0.0931584,0.280573,0.00690119,0.0647783,0.0385097,,,,0.011354,0.00380576,0.0031394,0.547488,0.9469
blur(std=2),radial,0.126674,0.0311391,0.111769,0.276826,2.37585e-17,0.0711178,0.0582845,,,,,5.47324e-18,2.92713e-18,,0.2864
blur(std=2),pca64,0.109568,0.0271772,0.111769,0.276826,4.27721e-16,0.0238133,0.0400585,,,,,3.82069e-16,3.8054e-16,,0.858
blur(std=2),dae_lam0.1w5_seed0,0.100863,0.0282739,0.111769,0.276826,0.0163887,0.0540246,0.0403788,,,,0.0110837,0.0100236,0.0074933,0.621545,0.971
blur(std=2),dae_lam0.1w5_seed1,0.0987741,0.0278886,0.111769,0.276826,0.0164711,0.0570679,0.0397456,,,,0.0110837,0.0100869,0.0076773,0.625869,0.9716
blur(std=2),dae_lam0_seed0,0.100324,0.0282915,0.111769,0.276826,0.0183627,0.0553981,0.0406901,,,,0.0114887,0.0112393,0.00832283,0.62363,0.9588
blur(std=2),dae_lam0_seed1,0.100507,0.0285753,0.111769,0.276826,0.0176674,0.0569029,0.0415277,,,,0.0114887,0.0114481,0.00888978,0.657016,0.9646
blur(std=2),dae_lam0_seed2,0.0956492,0.0271567,0.111769,0.276826,0.0180183,0.0593238,0.0420975,,,,0.0114887,0.0121529,0.00976191,0.682153,0.9862
blur(std=2),dae_lam1_seed0,0.209543,0.103143,0.111769,0.276826,8.13383e-07,0.17721,0.165285,,,,,6.0703e-09,5.83552e-09,0.00811093,0.0001
blur(std=2),dae_lam1w5_inner_seed0,0.104342,0.0307012,0.111769,0.276826,0.0130279,0.0766817,0.0495299,,,,0.0196892,0.00648596,0.00539018,0.500733,0.8447
blur(std=2),dae_lam1w5_inner_seed1,0.105897,0.0317728,0.111769,0.276826,0.0140085,0.0825565,0.0511572,,,,0.0196892,0.00713911,0.00592952,0.520481,0.7526
blur(std=2),dae_lam1w5_inner_seed2,0.0961465,0.0284407,0.111769,0.276826,0.0132214,0.0854877,0.0486782,,,,0.0196892,0.00747654,0.0062917,0.558703,0.9297
blur(std=2),dae_lam1w5_seed0,0.0976548,0.027366,0.111769,0.276826,0.010974,0.0617466,0.0414923,,,,0.0134255,0.0056735,0.00424611,0.525865,0.9796
blur(std=2),dae_lam1w5_seed1,0.0910378,0.0253086,0.111769,0.276826,0.0107004,0.0671515,0.0388862,,,,0.0134255,0.00524937,0.00400544,0.502811,0.987
blur(std=2),dae_lam1w5_seed2,0.093218,0.0268004,0.111769,0.276826,0.0081163,0.0712887,0.042227,,,,0.0134255,0.00406372,0.00326734,0.505093,0.9807
pixel_mask(drop=0.25),radial,0.0966415,0.0502856,0.0837831,0.215032,2.36202e-17,0.0269969,0.0193677,,,,,5.39186e-18,3.01416e-18,,0.0771
pixel_mask(drop=0.25),pca64,0.108557,0.0265518,0.0837831,0.215032,4.66403e-16,0.13081,0.078548,,,,,4.25105e-16,4.23765e-16,,0.0017
pixel_mask(drop=0.25),dae_lam0.1w5_seed0,0.0905689,0.0238351,0.0837831,0.215032,0.0108813,0.120972,0.0713703,,,,0.0105294,0.00690607,0.00555019,0.639947,0.3496
pixel_mask(drop=0.25),dae_lam0.1w5_seed1,0.092315,0.0245209,0.0837831,0.215032,0.010545,0.122572,0.0729318,,,,0.0105294,0.00705424,0.00580434,0.672219,0.2819
pixel_mask(drop=0.25),dae_lam0_seed0,0.0912495,0.0241487,0.0837831,0.215032,0.0120275,0.121241,0.0718681,,,,0.0109878,0.0080643,0.00663917,0.674861,0.3105
pixel_mask(drop=0.25),dae_lam0_seed1,0.0908567,0.0240346,0.0837831,0.215032,0.0122681,0.121442,0.0717506,,,,0.0109878,0.00839375,0.00703037,0.687993,0.3511
pixel_mask(drop=0.25),dae_lam0_seed2,0.0902985,0.024083,0.0837831,0.215032,0.0125235,0.121786,0.0714946,,,,0.0109878,0.00924111,0.00806877,0.73216,0.4011
pixel_mask(drop=0.25),dae_lam1_seed0,0.209543,0.103143,0.0837831,0.215032,1.27668e-06,0.219541,0.161753,,,,,6.13005e-09,5.84559e-09,0.00511356,0
pixel_mask(drop=0.25),dae_lam1w5_inner_seed0,0.0946669,0.0263981,0.0837831,0.215032,0.0109387,0.126364,0.0756923,,,,0.0161682,0.00625151,0.00513681,0.57534,0.3059
pixel_mask(drop=0.25),dae_lam1w5_inner_seed1,0.0945846,0.02641,0.0837831,0.215032,0.0112288,0.12699,0.0757298,,,,0.0161682,0.0065551,0.00542124,0.585022,0.3163
