scope,group,model_group,signal,spearman,partial,auroc
family,pixel_mask,dae_lam1w5_outer,dis,0.5281,0.6863,0.7703
family,pixel_mask,dae_lam1w5_outer,g2,0.4811,0.4807,0.7173
family,pixel_mask,dae_lam1w5_outer,g3,0.4337,0.4314,0.6909
family,pixel_mask,dae_lam1w5_outer,q,-0.1245,-0.1072,0.4206
family,pixel_mask,dae_lam1w5_outer,dis@level,-0.2452,-0.3014,0.3343
family,pixel_mask,dae_lam1w5_outer,g2@level,0.6360,0.9252,0.8039
family,pixel_mask,dae_lam1w5_outer,g3@level,0.6360,0.9252,0.8039
family,pixel_mask,dae_lam1w5_outer,q@level,0.5045,0.7163,0.7582
family,box_mask,dae_lam1w5_outer,dis,0.7519,0.7741,0.8483
family,box_mask,dae_lam1w5_outer,g2,0.7215,0.7176,0.8317
family,box_mask,dae_lam1w5_outer,g3,0.6993,0.6867,0.8215
family,box_mask,dae_lam1w5_outer,q,-0.0001,0.0075,0.5031
family,box_mask,dae_lam1w5_outer,dis@level,0.5987,0.7403,0.8080
family,box_mask,dae_lam1w5_outer,g2@level,0.5987,0.7403,0.8080
family,box_mask,dae_lam1w5_outer,g3@level,0.5987,0.7403,0.8080
family,box_mask,dae_lam1w5_outer,q@level,0.5987,0.7403,0.8080
all,all,dae_lam1w5_inner,dis,0.4553,0.5524,0.6484
all,all,dae_lam1w5_inner,g2,0.3756,0.3744,0.6617
all,all,dae_lam1w5_inner,g3,0.3120,0.3186,0.6274
all,all,dae_lam1w5_inner,q,-0.1512,-0.1677,0.4661
all,all,dae_lam1w5_inner,dis@level,0.2133,0.2304,0.5230
all,all,dae_lam1w5_inner,g2@level,0.4113,0.3904,0.7388
all,all,dae_lam1w5_inner,g3@level,0.2357,0.2347,0.6002
all,all,dae_lam1w5_inner,q@level,-0.2100,-0.2050,0.4548
all,all,dae_lam1w5,dis,0.4478,0.5490,0.6445
all,all,dae_lam1w5,g2,0.4453,0.4906,0.6685
all,all,dae_lam1w5,g3,0.4268,0.4685,0.6676
all,all,dae_lam1w5,q,-0.0864,-0.1143,0.5211
all,all,dae_lam1w5,dis@level,0.2066,0.2213,0.5200
all,all,dae_lam1w5,g2@level,0.3510,0.3438,0.6299
all,all,dae_lam1w5,g3@level,0.3771,0.3668,0.6525
all,all,dae_lam1w5,q@level,0.0254,-0.0043,0.6346
all,all,dae_lam1w5_outer,dis,0.4728,0.5661,0.6739
all,all,dae_lam1w5_outer,g2,0.5256,0.5841,0.6928
all,all,dae_lam1w5_outer,g3,0.5215,0.5652,0.6990
all,all,dae_lam1w5_outer,q,0.0116,-0.0219,0.5402
all,all,dae_lam1w5_outer,dis@level,0.3111,0.3129,0.5966
all,all,dae_lam1w5_outer,g2@level,0.4162,0.4124,0.6368
all,all,dae_lam1w5_outer,g3@level,0.5066,0.4958,0.6979
all,all,dae_lam1w5_outer,q@level,0.0577,0.0279,0.6337
