condition,model_group,signal,spearman,spearman_min,spearman_max,partial,partial_min,partial_max,auroc
noise(sigma=0.2),dae_lam1w5_outer,div,0.4413,0.3798,0.5154,0.4369,0.3755,0.5115,0.6939
noise(sigma=0.2),dae_lam1w5_outer,g_lin,0.6904,0.6007,0.7530,0.6929,0.5992,0.7603,0.8639
noise(sigma=0.2),dae_lam1w5_outer,sure,0.8101,0.7942,0.8258,0.8181,0.8041,0.8320,0.9300
noise(sigma=0.3),dae_lam1w5_outer,b,0.1192,0.1110,0.1302,,,,0.5383
noise(sigma=0.3),dae_lam1w5_outer,g,0.6059,0.5793,0.6475,0.5992,0.5706,0.6427,0.8094
noise(sigma=0.3),dae_lam1w5_outer,d,0.5562,0.5175,0.5946,0.5684,0.5318,0.6039,0.8226
noise(sigma=0.3),dae_lam1w5_outer,r_A,0.5562,0.5175,0.5946,0.5684,0.5318,0.6039,0.8226
noise(sigma=0.3),dae_lam1w5_outer,div,0.4731,0.4116,0.5555,0.4622,0.4019,0.5469,0.7097
noise(sigma=0.3),dae_lam1w5_outer,g_lin,0.4433,-0.0226,0.6795,0.4528,-0.0219,0.7029,0.7467
noise(sigma=0.3),dae_lam1w5_outer,sure,0.6392,0.6218,0.6607,0.6461,0.6302,0.6661,0.8545
noise(sigma=0.5),dae_lam1w5_outer,b,0.0007,-0.3538,0.2215,,,,0.4676
noise(sigma=0.5),dae_lam1w5_outer,g,0.6793,0.5655,0.8015,0.6615,0.5498,0.7713,0.8564
noise(sigma=0.5),dae_lam1w5_outer,d,0.4443,0.2593,0.7693,0.4458,0.2713,0.7590,0.7570
noise(sigma=0.5),dae_lam1w5_outer,r_A,0.4443,0.2593,0.7693,0.4458,0.2713,0.7590,0.7570
noise(sigma=0.5),dae_lam1w5_outer,div,0.2105,-0.3581,0.5534,0.2165,-0.3137,0.5417,0.5756
noise(sigma=0.5),dae_lam1w5_outer,g_lin,0.5871,0.4408,0.7511,0.5905,0.4116,0.7283,0.8245
noise(sigma=0.5),dae_lam1w5_outer,sure,0.5312,0.4052,0.7758,0.5309,0.4033,0.7729,0.7958
blur(std=0.5),dae_lam1w5_outer,b,0.0340,0.0258,0.0397,,,,0.5163
blur(std=0.5),dae_lam1w5_outer,g,0.6538,0.6495,0.6620,0.6614,0.6566,0.6703,0.8461
blur(std=0.5),dae_lam1w5_outer,d,0.9623,0.9524,0.9705,0.9648,0.9572,0.9718,0.9906
blur(std=0.5),dae_lam1w5_outer,r_A,0.9851,0.9845,0.9860,0.9873,0.9866,0.9881,0.9944
blur(std=1),dae_lam1w5_outer,b,0.2466,0.1985,0.2832,,,,0.6080
blur(std=1),dae_lam1w5_outer,g,0.4083,0.3926,0.4170,0.3358,0.2917,0.3737,0.7432
blur(std=1),dae_lam1w5_outer,d,0.4800,0.4258,0.5555,0.4860,0.4091,0.6053,0.7356
blur(std=1),dae_lam1w5_outer,r_A,0.8181,0.7992,0.8363,0.8094,0.7880,0.8263,0.9049
blur(std=1.5),dae_lam1w5_outer,b,0.5070,0.4497,0.5558,,,,0.6998
blur(std=1.5),dae_lam1w5_outer,g,0.4261,0.3734,0.4740,0.1071,0.0784,0.1267,0.6830
blur(std=1.5),dae_lam1w5_outer,d,0.6022,0.5455,0.6318,0.3899,0.3527,0.4544,0.7651
blur(std=1.5),dae_lam1w5_outer,r_A,0.7069,0.6770,0.7276,0.5703,0.5438,0.5993,0.8397
blur(std=2),dae_lam1w5_outer,b,0.6681,0.6351,0.7074,,,,0.7755
blur(std=2),dae_lam1w5_outer,g,0.5818,0.5305,0.6482,0.1386,0.0677,0.2199,0.7384
blur(std=2),dae_lam1w5_outer,d,0.7151,0.6914,0.7449,0.3428,0.3348,0.3536,0.8014
blur(std=2),dae_lam1w5_outer,r_A,0.7292,0.6916,0.7502,0.4201,0.3879,0.4806,0.8151
pixel_mask(drop=0.25),dae_lam1w5_outer,b,0.8819,0.8706,0.8882,,,,0.9397
pixel_mask(drop=0.25),dae_lam1w5_outer,g,0.7192,0.6888,0.7651,0.5382,0.5198,0.5475,0.8603
pixel_mask(drop=0.25),dae_lam1w5_outer,d,0.9744,0.9714,0.9764,0.9569,0.9536,0.9591,0.9880
pixel_mask(drop=0.25),dae_lam1w5_outer,r_A,0.9936,0.9931,0.9940,0.9705,0.9692,0.9713,0.9967
pixel_mask(drop=0.5),dae_lam1w5_outer,b,0.9639,0.9624,0.9652,,,,0.9798
pixel_mask(drop=0.5),dae_lam1w5_outer,g,0.7090,0.6555,0.7944,0.3210,0.2927,0.3486,0.8715
pixel_mask(drop=0.5),dae_lam1w5_outer,d,0.9865,0.9859,0.9872,0.8942,0.8824,0.9018,0.9927
pixel_mask(drop=0.5),dae_lam1w5_outer,r_A,0.9898,0.9894,0.9903,0.8708,0.8691,0.8725,0.9943
pixel_mask(drop=0.75),dae_lam1w5_outer,b,0.9627,0.9619,0.9633,,,,0.9779
pixel_mask(drop=0.75),dae_lam1w5_outer,g,0.6031,0.5206,0.7548,0.2032,0.1760,0.2500,0.8258
pixel_mask(drop=0.75),dae_lam1w5_outer,d,0.9713,0.9702,0.9719,0.5322,0.4795,0.5820,0.9833
pixel_mask(drop=0.75),dae_lam1w5_outer,r_A,0.9764,0.9757,0.9768,0.7211,0.7170,0.7243,0.9860
box_mask(size=8),dae_lam1w5_outer,b,0.5272,0.5175,0.5342,,,,0.8010
box_mask(size=8),dae_lam1w5_outer,g,0.8481,0.8230,0.8622,0.7836,0.7521,0.8011,0.9083
box_mask(size=8),dae_lam1w5_outer,d,0.8823,0.8587,0.9042,0.8550,0.8304,0.8767,0.9289
box_mask(size=8),dae_lam1w5_outer,r_A,0.8156,0.7856,0.8493,0.7954,0.7656,0.8247,0.8978
box_mask(size=14),dae_lam1w5_outer,b,0.6874,0.6795,0.7026,,,,0.8533
box_mask(size=14),dae_lam1w5_outer,g,0.7752,0.7636,0.7971,0.5382,0.5165,0.5650,0.8814
box_mask(size=14),dae_lam1w5_outer,d,0.7320,0.6911,0.7818,0.4897,0.4316,0.5652,0.8631
box_mask(size=14),dae_lam1w5_outer,r_A,0.6543,0.6049,0.7175,0.3830,0.3291,0.4520,0.8271
