condition,model_group,signal,spearman,spearman_min,spearman_max,partial,partial_min,partial_max,auroc
noise(sigma=0.2),dae_lam0,dis,0.7909,0.7812,0.8030,0.7906,0.7808,0.8029,0.8844
noise(sigma=0.2),dae_lam0,g2,0.6716,0.6623,0.6824,0.6752,0.6695,0.6824,0.8248
noise(sigma=0.2),dae_lam0,g3,0.6170,0.6019,0.6281,0.6235,0.6029,0.6377,0.8004
noise(sigma=0.2),dae_lam0,q,0.1092,0.0679,0.1792,0.1193,0.0758,0.1941,0.5460
noise(sigma=0.2),dae_lam1,g2,-0.0069,-0.0069,-0.0069,0.0025,0.0025,0.0025,0.4955
noise(sigma=0.2),dae_lam1,g3,0.0077,0.0077,0.0077,0.0107,0.0107,0.0107,0.5018
noise(sigma=0.2),dae_lam1,q,-0.4395,-0.4395,-0.4395,-0.3863,-0.3863,-0.3863,0.2756
noise(sigma=0.2),dae_lam1w5,dis,0.7540,0.7274,0.7732,0.7562,0.7288,0.7777,0.8622
noise(sigma=0.2),dae_lam1w5,g2,0.4938,0.4616,0.5393,0.4936,0.4602,0.5412,0.7714
noise(sigma=0.2),dae_lam1w5,g3,0.4716,0.4311,0.5226,0.4706,0.4297,0.5224,0.7578
noise(sigma=0.2),dae_lam1w5,q,-0.1797,-0.2329,-0.1254,-0.1906,-0.2408,-0.1357,0.4123
noise(sigma=0.3),dae_lam0,dis,0.7718,0.7636,0.7818,0.7719,0.7637,0.7819,0.8835
noise(sigma=0.3),dae_lam0,g2,0.6728,0.6507,0.6900,0.6779,0.6665,0.6894,0.8273
noise(sigma=0.3),dae_lam0,g3,0.6176,0.6105,0.6235,0.6276,0.6210,0.6343,0.8030
noise(sigma=0.3),dae_lam0,q,0.2008,0.1615,0.2680,0.2200,0.1762,0.2969,0.5934
noise(sigma=0.3),dae_lam1,g2,0.0103,0.0103,0.0103,0.0185,0.0185,0.0185,0.5051
noise(sigma=0.3),dae_lam1,g3,-0.0053,-0.0053,-0.0053,0.0042,0.0042,0.0042,0.4942
noise(sigma=0.3),dae_lam1,q,-0.2569,-0.2569,-0.2569,-0.2182,-0.2182,-0.2182,0.3614
noise(sigma=0.3),dae_lam1w5,dis,0.6922,0.6699,0.7036,0.6895,0.6672,0.7018,0.8450
noise(sigma=0.3),dae_lam1w5,g2,0.4773,0.4380,0.5171,0.4719,0.4338,0.5110,0.7584
noise(sigma=0.3),dae_lam1w5,g3,0.4610,0.4156,0.5080,0.4544,0.4103,0.5002,0.7471
