scope,group,projector,signal,constant,spearman,spearman_lo,spearman_hi,auroc,auroc_lo,auroc_hi,n
family,noise,pca256,d,False,0.9638,0.9632,0.9643,0.9999,0.9999,1.0000,40000
family,noise,pca256,r_A,False,0.9638,0.9632,0.9643,0.9999,0.9999,1.0000,40000
family,noise,nn,g,True,,,,0.5000,0.5000,0.5000,40000
family,noise,nn,d,False,0.2804,0.2775,0.2833,0.6441,0.6415,0.6468,40000
family,noise,nn,r_A,False,0.2804,0.2775,0.2833,0.6441,0.6415,0.6468,40000
family,blur,identity,g,True,,,,0.5000,0.5000,0.5000,40000
family,blur,identity,d,True,,,,0.5000,0.5000,0.5000,40000
family,blur,identity,r_A,False,0.9094,0.9067,0.9122,0.9327,0.9300,0.9355,40000
family,blur,radial,g,True,,,,0.5000,0.5000,0.5000,40000
family,blur,radial,d,False,0.6732,0.6639,0.6822,0.8214,0.8149,0.8279,40000
family,blur,radial,r_A,False,0.7266,0.7204,0.7331,0.8442,0.8393,0.8490,40000
family,blur,pca16,g,True,,,,0.5000,0.5000,0.5000,40000
family,blur,pca16,d,False,0.3017,0.2882,0.3151,0.6558,0.6476,0.6646,40000
family,blur,pca16,r_A,False,0.4339,0.4226,0.4449,0.7207,0.7140,0.7277,40000
family,blur,pca64,g,True,,,,0.5000,0.5000,0.5000,40000
family,blur,pca64,d,False,-0.1442,-0.1575,-0.1303,0.4404,0.4319,0.4490,40000
family,blur,pca64,r_A,False,0.3962,0.3860,0.4068,0.7325,0.7262,0.7384,40000
family,blur,pca256,g,True,,,,0.5000,0.5000,0.5000,40000
family,blur,pca256,d,False,-0.4108,-0.4198,-0.4019,0.3856,0.3800,0.3913,40000
family,blur,pca256,r_A,False,0.7431,0.7368,0.7493,0.8969,0.8924,0.9013,40000
family,blur,nn,g,True,,,,0.5000,0.5000,0.5000,40000
family,blur,nn,d,False,0.8030,0.7978,0.8083,0.8914,0.8871,0.8961,40000
family,blur,nn,r_A,False,0.6956,0.6886,0.7025,0.8481,0.8430,0.8535,40000
family,pixel_mask,identity,g,True,,,,0.5000,0.5000,0.5000,30000
family,pixel_mask,identity,d,True,,,,0.5000,0.5000,0.5000,30000
family,pixel_mask,identity,r_A,True,,,,0.5000,0.5000,0.5000,30000
family,pixel_mask,radial,g,True,,,,0.5000,0.5000,0.5000,30000
family,pixel_mask,radial,d,False,0.5225,0.5131,0.5331,0.7872,0.7824,0.7921,30000
family,pixel_mask,radial,r_A,False,0.0861,0.0734,0.0997,0.5636,0.5569,0.5706,30000
family,pixel_mask,pca16,g,True,,,,0.5000,0.5000,0.5000,30000
