condition,model_group,signal,spearman,spearman_min,spearman_max,partial,partial_min,partial_max,auroc
blur(std=1),unet_lam1w5,d,0.2534,0.2065,0.2814,-0.0428,-0.0541,-0.0346,0.5966
blur(std=1),unet_lam1w5,r_A,0.6561,0.6480,0.6611,0.4582,0.4499,0.4633,0.7999
blur(std=1.5),unet_lam0,b,0.5469,0.5320,0.5643,,,,0.7261
blur(std=1.5),unet_lam0,g,0.6170,0.6042,0.6335,0.3447,0.3407,0.3523,0.7747
blur(std=1.5),unet_lam0,d,0.6209,0.6017,0.6338,0.3512,0.3320,0.3716,0.7817
blur(std=1.5),unet_lam0,r_A,0.7378,0.7343,0.7445,0.5975,0.5795,0.6088,0.8616
blur(std=1.5),unet_lam1,b,0.9998,0.9998,0.9998,,,,0.9999
blur(std=1.5),unet_lam1,g,,,,,,,0.5000
blur(std=1.5),unet_lam1,d,0.9997,0.9997,0.9997,-0.0049,-0.0049,-0.0049,0.9999
blur(std=1.5),unet_lam1,r_A,0.9997,0.9997,0.9997,-0.0049,-0.0049,-0.0049,0.9999
blur(std=1.5),unet_lam1w5,b,0.6803,0.6733,0.6872,,,,0.7935
blur(std=1.5),unet_lam1w5,g,0.6851,0.6734,0.7031,0.2238,0.1949,0.2540,0.8058
blur(std=1.5),unet_lam1w5,d,0.4341,0.3758,0.4723,0.0365,0.0348,0.0395,0.6979
blur(std=1.5),unet_lam1w5,r_A,0.7029,0.6998,0.7060,0.3912,0.3841,0.3948,0.8277
blur(std=2),unet_lam0,b,0.6762,0.6617,0.6910,,,,0.7779
blur(std=2),unet_lam0,g,0.7073,0.6887,0.7273,0.2863,0.2635,0.3166,0.7982
blur(std=2),unet_lam0,d,0.7204,0.7078,0.7331,0.3519,0.3447,0.3604,0.8129
blur(std=2),unet_lam0,r_A,0.7173,0.7024,0.7253,0.4031,0.3948,0.4101,0.8133
blur(std=2),unet_lam1,b,0.9997,0.9997,0.9997,,,,0.9998
blur(std=2),unet_lam1,g,,,,,,,0.5000
blur(std=2),unet_lam1,d,0.9996,0.9996,0.9996,-0.0455,-0.0455,-0.0455,0.9998
blur(std=2),unet_lam1,r_A,0.9996,0.9996,0.9996,-0.0455,-0.0455,-0.0455,0.9998
blur(std=2),unet_lam1w5,b,0.7460,0.7420,0.7504,,,,0.8240
blur(std=2),unet_lam1w5,g,0.7499,0.7385,0.7635,0.2331,0.2066,0.2564,0.8273
blur(std=2),unet_lam1w5,d,0.5172,0.4287,0.5808,0.1279,0.1223,0.1326,0.7399
blur(std=2),unet_lam1w5,r_A,0.7338,0.7312,0.7370,0.3378,0.3331,0.3421,0.8272
pixel_mask(drop=0.25),unet_lam0,b,0.9462,0.9449,0.9482,,,,0.9710
pixel_mask(drop=0.25),unet_lam0,g,0.9679,0.9655,0.9700,0.6913,0.6855,0.7004,0.9856
pixel_mask(drop=0.25),unet_lam0,d,0.9486,0.9424,0.9546,0.5607,0.5374,0.5791,0.9691
pixel_mask(drop=0.25),unet_lam0,r_A,0.9488,0.9419,0.9567,0.6769,0.6632,0.6905,0.9681
pixel_mask(drop=0.25),unet_lam1,b,0.9976,0.9976,0.9976,,,,0.9983
pixel_mask(drop=0.25),unet_lam1,g,,,,,,,0.5000
pixel_mask(drop=0.25),unet_lam1,d,0.9975,0.9975,0.9975,-0.0340,-0.0340,-0.0340,0.9983
pixel_mask(drop=0.25),unet_lam1,r_A,0.9975,0.9975,0.9975,-0.0340,-0.0340,-0.0340,0.9983
pixel_mask(drop=0.25),unet_lam1w5,b,0.9369,0.9361,0.9380,,,,0.9622
pixel_mask(drop=0.25),unet_lam1w5,g,0.6201,0.5664,0.6773,0.1242,0.0819,0.1534,0.8490
pixel_mask(drop=0.25),unet_lam1w5,d,0.9731,0.9701,0.9749,0.7540,0.7272,0.7676,0.9839
pixel_mask(drop=0.25),unet_lam1w5,r_A,0.9768,0.9738,0.9784,0.8264,0.8112,0.8368,0.9845
pixel_mask(drop=0.5),unet_lam0,b,0.9680,0.9678,0.9683,,,,0.9815
pixel_mask(drop=0.5),unet_lam0,g,0.9652,0.9637,0.9660,0.4251,0.4231,0.4274,0.9855
pixel_mask(drop=0.5),unet_lam0,d,0.9132,0.9013,0.9224,0.2684,0.2492,0.2789,0.9466
pixel_mask(drop=0.5),unet_lam0,r_A,0.9221,0.9089,0.9310,0.3488,0.3233,0.3652,0.9537
pixel_mask(drop=0.5),unet_lam1,b,0.9926,0.9926,0.9926,,,,0.9952
pixel_mask(drop=0.5),unet_lam1,g,,,,,,,0.5000
pixel_mask(drop=0.5),unet_lam1,d,0.9923,0.9923,0.9923,-0.0887,-0.0887,-0.0887,0.9951
